document_id,review,sentiment
0,appl ğŸ ipad gener compet everyth want donâ€™t anyth realli super complic mostli stream ğŸ¥ movi surf ğŸ„â€â™‚ï¸ net cours âœï¸ write product review ğŸ¤ªğŸ˜ğŸ˜œğŸ˜›ğŸ˜† itâ€™ fine need without case itâ€™ pound heavi fast connect intuit userfriendli ğŸ‘ï¸ retina display touchscreen pretti decent size inch diagon touchscreen sharp vivid true color respons also ipad came usbc power adapt usbc lightn charg cabl month free appl tv appl tv great abl watch âš½ï¸ soccerfootballâš½ï¸ show ted lasso free ğŸ‘ğŸ˜ğŸ‘ score âš½ï¸ğŸ¥…âš½ï¸ appl ğŸ make excel qualiti electron handheld comput absolut except ğŸ‘ğŸğŸ˜ƒğŸ thing wish differ ipad slow charg speed batteri drain littl faster would like use ipad itâ€™ charg slow charg speed purchas ipad plu tax free ship sale gift card would like buy gener ipad itâ€™ pricey expens much budgetfriendli option long stori short realli like ipad happi purchas excel qualiti itâ€™ go use think ğŸ¤” last long time impress highli recommend especi money factor ğŸ‘ğŸğŸ¤ªâ¤ï¸ğŸ˜ƒğŸğŸ‘ğŸğŸ˜ğŸ¤”ğŸğŸ‘â¤ï¸ğŸ˜â­ï¸ğŸ©·ğŸğŸ‘,positive
1,decad thought anyon spent money ipad idiot bought one android tablet anoth cheap good one didnt last long run slow replac meanwhil old iphon still work great music sleep machin audio devic bedroom final decid step ipad back wait long first still blazingli fast basic task like use decad wont replac long time secondth user experi incred like iphon macbook im cheap wish hadnt tri save money buy garbag low end android tablet year,positive
2,new ipad unopen box would expect anyth great appl qualiti complaint order took week deliv rather coupl day iâ€™m sure someth logist amazon buy stock sell genuin appl new rather â€œrefreshedâ€ electron huge rush disconnect usual amazon speed fulfil experi purchas nevertheless save made worth love new ipad,positive
3,appl ipad gener powerhous devic set new standard versatil perform portabl whether your student creativ profession someon seek reliabl power tablet ipad gamechang revolution way work learn playth standout featur appl ipad gener stun retina display crisp resolut true tone technolog deliv vibrant color sharp detail make delight watch video edit photo read ebook larger display provid ampl space multitask make ideal product task creativ endeavorsth ipad power bionic chip ensur swift smooth perform demand app game processor effici maxim batteri life provid impress process power allow tackl task ea whether your edit video run graphicsintens app engag augment realiti experi ipad perform remain impeccableth ipad gener run ipado provid seamless intuit user experi featur like slide split view redesign home screen multitask becom effortless enhanc product effici integr appl pencil allow precis notetak sketch creativ project make valuabl tool student profession aliketh ipad versatil extend entertain access vast app store appl arcad stream favorit movi tv show play immers game ipad deliv rich immers entertain experi power stereo speaker enjoy immers audio without need extern accessoriesth tablet front rear camera captur stun photo video make valuabl tool content creation whether your captur memor moment attend virtual meet record highqual video ipad camera deliv impress resultsth ipad gener support smart keyboard appl pencil transform product workstat creativ canva smart connector ipad allow easi attach smart keyboard provid comfort type experi extend write sessionsaddit ipad allday batteri life stay product entertain hour without need worri recharg ipad lightweight design slim profil make easi carri around make perfect companion product goin conclus appl ipad gener true powerhous redefin versatil perform tablet stun display power bionic chip ipado capabl compat smart keyboard appl pencil ipad ultim tool unleash creativ product whether your student creativ profession simpli seek allaround capabl tablet appl ipad gener worthwhil invest enhanc everi aspect digit life,positive
4,old ipad pro hasnâ€™t work year also need new comput didnâ€™t need anyth sophist mac thought would tri gen ipad far would larger laptop touchscreen reluct buy appl tech quit year bought small iphon se year ago switch samsung galaxi se great size carri around citi fit pocket great recept still great piec technolog upgrad year still use se around hous connect wifi better camera toddler granddaught anoth year upgrad promax great camera larger screen unlik se except bigger size view photo realli love touchscreen featur nytim game interact app worri pictur technolog could move sophist system make obsolet concern daughterâ€™ iphon fell snow year ago somehow lost pictur thought cloud held hold quit bit lost sinc share photo neither u sure happen could happen stand alon camera isnâ€™t conveni photo detach technolog whim larg multin behemoth far happi ipad still learn use found case close secur stand portrait landscap mode realli nice view netflix appletv need new comput carri conveni ipad way go unless realli need power graphic abil mac iphon memori bare use thought would need ipad sinc phone extra capac convinc great decis iphon content stay exclus might work notâ€¦,positive
5,believ bought either prime day sale black friday sale around old model sure work perfectli receiv christma last year right turn reason price start outgrow fire kid tablet purchas age yo,neutral
6,got wife love watch medium content surf web play occasion game love display batteri longev compar android tablet also use ipad time time take note doodl complaint tablet power enough ipad owner display beauti sound adequ andit connect need great appl product part commut baghop help,positive
7,love big boy although bit heavi donâ€™t tv person entertain choic great size enjoy movi get lost utub prop pillow enjoy portabl bit heavi figur prop itâ€™ great jigsaw puzzl video photo edit enjoy great book,positive
8,iâ€™v want ipad awhil price high hard justifi sinc didnâ€™t need work fun uncertainti surround buy refurbish kept buy awhil good review gave courag take chanc soooo glad look act like brand new ipad even came ipad box oem charger could easili convinc sent brand new one iâ€™v sinc bought one came real box pack like new work like new ding scratch abl updat current io version batteri life great doesnâ€™t appear degrad batteri life highli recommend ipad probabl purchas coupl famili member think surpris purchas favorit buy year,positive
9,need replac older ipad gb total full unbeat price doubl intern storag easi set charg faster older one work great zero complaint research regret get version versu pay much gen,negative
